Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Bmpr2,1.77797647120808e-10,-0.316621156675245,0.144,0.224,4.65509799691699e-06
Psmb10,1.85054621353132e-10,-0.297338365500493,0.424,0.535,4.84510009626769e-06
2810004N23Rik,1.86044229323924e-10,-0.592948798998043,0.072,0.131,4.87101001215898e-06
Hsd17b11,1.87502989092899e-10,-0.323829448281149,0.273,0.373,4.90920326043027e-06
Arhgap25,1.87633395274137e-10,-0.453592106970675,0.124,0.198,4.91261755506746e-06
Atp2c1,1.88707524454519e-10,-0.542978671835324,0.133,0.207,4.94074040526821e-06
Polr2g,1.9007522165009e-10,-0.15776792680991,0.407,0.523,4.97654945324266e-06
Il21r,2.00250397552106e-10,-0.602492475618545,0.159,0.235,5.24295590870924e-06
Bcl2a1b,2.03150028174091e-10,1.27427702942455,0.091,0.05,5.31887403765405e-06
Pum1,2.0347726557355e-10,-0.343528225120859,0.186,0.273,5.3274417672467e-06
ENSMUSG00000120712,2.07513075735404e-10,2.94004254787844,0.02,0.004,5.43310734890435e-06
Ube2b,2.25044391388069e-10,-0.234172053877422,0.36,0.477,5.89211225532243e-06
Pura,2.25202828319371e-10,-0.304682081495221,0.227,0.322,5.89626045105778e-06
Sel1l3,2.27350993637151e-10,2.16037347121708,0.034,0.011,5.95250371540788e-06
Rpl24,2.31585605038931e-10,0.768878259960635,0.279,0.22,6.06337431112928e-06
Meis3,2.31675033512427e-10,-1.53508439727196,0.014,0.049,6.06571572742236e-06
Ube2q1,2.35215179099392e-10,-0.242418321930149,0.378,0.499,6.15840381918029e-06
Phb,2.40672064608281e-10,-0.544029383739282,0.068,0.127,6.30127599557402e-06
Abcg1,2.48140082377053e-10,0.642880540271868,0.452,0.408,6.49680363679601e-06
Utp18,2.53341043494624e-10,-0.599375208147358,0.09,0.154,6.63297520077625e-06
Psme3,2.53603580734525e-10,-0.241194189169566,0.36,0.471,6.63984895079132e-06
Ms4a6b,2.59285072358841e-10,-0.214174753086279,0.39,0.502,6.78860176449917e-06
Zfp385a,2.59473928497371e-10,-0.578127837516733,0.129,0.2,6.79354639591818e-06
Pts,2.6274885254698e-10,-0.918475904437425,0.039,0.086,6.87929045738502e-06
Trp53inp1,2.66302341132948e-10,-0.689421361528879,0.103,0.167,6.97232789554284e-06
