Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Dennd1b,-0.177866634990873,9.62069326448371e-08,0.00251888991050712,2.59879081317043,0.214,0.291,NS,FALSE
Lrp8,1.83088008528358,9.71398588858811e-08,0.00254331578535014,2.59459971323342,0.027,0.009,log2FC_only,FALSE
Ergic3,-0.23722234421284,9.90530543508734e-08,0.00259340706901457,2.5861293097052,0.313,0.404,NS,FALSE
Piga,1.38977336507549,1.00720327173239e-07,0.00263705960604973,2.57888005364004,0.042,0.019,log2FC_only,FALSE
Rnf150,-0.252964624428607,1.03051060930623e-07,0.00269808287728557,2.56894471419155,0.205,0.278,NS,FALSE
Ermp1,-0.520000026880208,1.04976594810701e-07,0.00274849720533377,2.56090470028775,0.05,0.092,NS,FALSE
Tmx1,-0.216906303082338,1.0687211308341e-07,0.00279812566474984,2.55313278509726,0.25,0.334,NS,FALSE
Hcst,-0.485638862770977,1.07136427259119e-07,0.00280504593849826,2.55206002186845,0.056,0.1,NS,FALSE
Exosc1,-0.4687629114673,1.07845636071578e-07,0.00282361444362605,2.54919460522548,0.085,0.137,NS,FALSE
Calcoco1,-0.487439219671383,1.08305687405858e-07,0.00283565950766017,2.54734591834862,0.07,0.117,NS,FALSE
Gk,-0.515228896700371,1.08456402388542e-07,0.0028396055273368,2.54674198713602,0.097,0.15,NS,FALSE
Adam15,0.410356909535247,1.08605185251353e-07,0.00284350096025091,2.54614662075044,0.523,0.5,NS,FALSE
Gm15417,-0.639644219908577,1.08660307975624e-07,0.00284494418341778,2.54592624985642,0.034,0.071,NS,FALSE
Cbfb,-0.265945881217588,1.11362947450044e-07,0.00291570469013704,2.53525646455795,0.197,0.271,NS,FALSE
Isyna1,0.813306480744392,1.13720783932144e-07,0.00297743756491138,2.52615733664578,0.115,0.074,NS,FALSE
F11r,2.82773972539633,1.14058489861493e-07,0.0029862793815536,2.52486956426297,0.013,0.002,log2FC_only,FALSE
Usp10,-0.596509284662038,1.14679228344798e-07,0.00300253155652349,2.5225124194781,0.036,0.073,NS,FALSE
