Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Cxcr2,2.8171533104143,5.29518311714569e-10,1.38638484373108e-05,4.85811619807251,0.051,0.004,log2FC_only,FALSE
Anpep,1.96265944732144,5.98535676047103e-10,1.56708610702652e-05,4.80490713960093,0.212,0.084,log2FC_only,FALSE
Gnai2,0.513077512745537,7.89223782621227e-10,2.0663457076589e-05,4.68479701758479,0.945,0.869,NS,FALSE
Fpr2,1.66458796417466,8.01437380934973e-10,2.09832335076395e-05,4.67812758638465,0.199,0.075,log2FC_only,FALSE
Zfp36l1,1.09001787498675,8.24208829743337e-10,2.157943558034e-05,4.66595991866837,0.538,0.368,log2FC_only,FALSE
Esd,0.987888876814654,1.0540425572378e-09,2.75969422336002e-05,4.55913903549427,0.508,0.319,log2FC_only,FALSE
Vat1,1.29932571039066,1.17918784640283e-09,3.08734961945188e-05,4.51041418710322,0.25,0.109,log2FC_only,FALSE
Gm2a,1.01651127414824,1.31656978783783e-09,3.44704301851701e-05,4.46255329663615,0.521,0.346,log2FC_only,FALSE
Ifi27l2a,1.47960018762912,1.49040023698028e-09,3.90216590046176e-05,4.40869427053261,0.267,0.122,log2FC_only,FALSE
Slfn4,3.98337427284087,1.5482092826781e-09,4.05352154390781e-05,4.39216751442531,0.076,0.013,log2FC_only,FALSE
Lilrb4b,1.28374323093152,1.57520080718386e-09,4.12419075336879e-05,4.3846612557989,0.602,0.459,log2FC_only,FALSE
Zfp36,1.67812616569404,1.7783864524041e-09,4.65617140968442e-05,4.33197104019025,0.305,0.155,log2FC_only,FALSE
Cd63,1.38815548978164,2.24061927665274e-09,5.86638939013221e-05,4.23162911347051,0.339,0.177,log2FC_only,FALSE
Ccr1,1.22036521642911,2.28822181753309e-09,5.99102236266515e-05,4.22249905931734,0.271,0.123,log2FC_only,FALSE
mt-Nd3,-0.495909215066475,3.13838345904701e-09,8.21691557247688e-05,4.08529117531137,0.907,0.925,NS,FALSE
