Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
371015,Adipo_Cocultured,2,Macrophages,3888,1875,3.9095,6.43,-0.084505,0.095432,5.075863,-2.441018
371855,Fibro_Cocultured,0,Macrophages,4109,1895,8.0798,3.7235,-0.085723,0.02343,3.100585,-2.784399
373499,Adipo_Cocultured,4,Macrophages,2457,1148,4.884,3.9886,-0.116517,0.161947,0.301761,-0.567511
375164,Fibro_Cocultured,4,Macrophages,2587,1285,7.6537,2.0874,-0.098459,0.302151,2.058547,-2.046592
379967,Fibro_Cocultured,2,Macrophages,2941,1554,6.2224,3.4682,-0.061383,0.203625,3.338515,-1.638986
388777,Fibro_Cocultured,0,Macrophages,2857,1421,6.1953,2.6601,-0.108396,0.127858,1.812935,0.38631
389669,Fibro_Cocultured,3,Macrophages,3367,1764,7.7814,4.5738,-0.136737,0.138361,3.538987,-3.988511
393622,Adipo_Cocultured,2,Macrophages,3681,1607,8.5031,4.3738,-0.11066,0.377989,2.306063,-3.191092
396265,Fibro_Cocultured,7,T Cells,2962,1590,8.8791,12.3903,-0.116576,0.331074,-7.767063,-0.961852
398077,Adipo_Cocultured,3,Macrophages,6523,2484,4.2465,3.0048,-0.108448,0.147188,0.012039,-3.154082
401087,Fibro_Cocultured,2,Macrophages,3643,1848,6.7527,1.7568,-0.090573,0.225481,5.191104,-3.349316
402638,Fibro_Cocultured,8,NK Cells,2653,1341,8.971,11.308,-0.157773,0.176823,-10.110559,-1.132378
404022,Fibro_Cocultured,0,Macrophages,3166,1545,3.8219,3.4428,-0.105601,0.227917,3.490197,0.468299
410541,Fibro_Cocultured,2,Macrophages,5949,2494,6.5893,2.6391,-0.11523,0.1234,2.608543,-3.319521
415503,Fibro_Cocultured,3,Macrophages,2502,1333,11.4309,3.8369,-0.186203,0.213337,2.700692,-3.947844
429529,Adipo_Cocultured,1,Monocytes,2957,1418,8.1502,4.836,-0.144214,0.367316,-0.068495,3.117664
446390,Fibro_Cocultured,1,Monocytes,2619,1449,4.2383,3.0546,-0.06247,0.349392,0.631136,0.0926
448733,Fibro_Cocultured,9,T Cells,4027,1934,7.7477,11.3981,-0.054502,0.154492,-7.022772,2.651986
448916,Fibro_Cocultured,0,Macrophages,3020,1518,4.3046,3.0132,-0.095264,0.135652,3.124203,0.475565
452090,Adipo_Cocultured,7,T Cells,1677,987,6.7382,9.9583,-0.144233,0.3367,-7.693919,-1.080323
