Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
641485,3.812665,-1.636092,Fibro_Cocultured,0.3,1
642073,0.759364,4.316986,Adipo_Cocultured,1,0.3
645294,0.976677,2.191733,Adipo_Cocultured,1,0.3
651543,4.354067,0.050853,Fibro_Cocultured,0.3,1
651900,4.025724,-2.107198,Adipo_Cocultured,1,0.3
654197,2.932444,-4.4589,Fibro_Cocultured,0.3,1
655306,-6.712156,3.065443,Fibro_Cocultured,0.3,1
661069,5.385645,-0.619888,Fibro_Cocultured,0.3,1
666090,-6.758887,2.097336,Fibro_Cocultured,0.3,1
667139,-7.193234,2.807768,Adipo_Cocultured,1,0.3
669064,4.260274,-3.714072,Fibro_Cocultured,0.3,1
676439,0.662173,-1.316248,Adipo_Cocultured,1,0.3
682498,3.931332,0.940609,Fibro_Cocultured,0.3,1
690062,4.45977,-0.202854,Fibro_Cocultured,0.3,1
705077,-6.357303,2.115673,Fibro_Cocultured,0.3,1
706137,-0.219754,1.064683,Adipo_Cocultured,1,0.3
707114,2.625184,-2.318398,Adipo_Cocultured,1,0.3
710825,-0.520662,-0.160385,Adipo_Cocultured,1,0.3
711039,-4.401304,5.784057,Adipo_Cocultured,1,0.3
711633,-6.799523,1.239126,Fibro_Cocultured,0.3,1
716374,3.109422,-1.830123,Adipo_Cocultured,1,0.3
720288,-9.437279,-1.592399,Fibro_Cocultured,0.3,1
721853,4.987258,-1.150731,Fibro_Cocultured,0.3,1
730277,1.679296,2.067566,Adipo_Cocultured,1,0.3
733093,1.564815,-2.57787,Adipo_Cocultured,1,0.3
740015,-7.988085,-0.769464,Fibro_Cocultured,0.3,1
741162,-1.758431,3.59551,Adipo_Cocultured,1,0.3
748795,-6.299322,1.96943,Fibro_Cocultured,0.3,1
752909,2.172277,-3.095888,Fibro_Cocultured,0.3,1
752929,-10.702957,0.486443,Fibro_Cocultured,0.3,1
753606,-10.832809,-1.084593,Fibro_Cocultured,0.3,1
758043,1.374836,1.576641,Adipo_Cocultured,1,0.3
760905,-0.263353,-4.048744,Adipo_Cocultured,1,0.3
766632,2.06565,-2.040436,Fibro_Cocultured,0.3,1
767921,0.934287,6.368883,Fibro_Cocultured,0.3,1
769384,1.709203,0.218359,Fibro_Cocultured,0.3,1
787771,-3.631046,5.148997,Adipo_Cocultured,1,0.3
790919,-6.767768,2.091304,Fibro_Cocultured,0.3,1
796315,-6.303279,-0.801771,Fibro_Cocultured,0.3,1
797704,-5.010458,4.290853,Adipo_Cocultured,1,0.3
799392,2.425644,3.822916,Adipo_Cocultured,1,0.3
810436,1.773617,2.634758,Adipo_Cocultured,1,0.3
815412,1.693014,5.101878,Adipo_Cocultured,1,0.3
818357,2.87147,0.587503,Fibro_Cocultured,0.3,1
822440,2.087731,0.716221,Adipo_Cocultured,1,0.3
831906,-4.377659,5.412137,Adipo_Cocultured,1,0.3
852243,3.972594,0.205515,Fibro_Cocultured,0.3,1
