Cell,umap_1,umap_2,CellType1,colour
769384,1.709203,0.218359,Monocytes,#9897df
787771,-3.631046,5.148997,Myeloid Progenitors,#004583
790919,-6.767768,2.091304,T Cells,#f6d100
796315,-6.303279,-0.801771,T Cells,#f6d100
797704,-5.010458,4.290853,Myeloid Progenitors,#004583
799392,2.425644,3.822916,Monocytes,#9897df
810436,1.773617,2.634758,Monocytes,#9897df
815412,1.693014,5.101878,Monocytes,#9897df
818357,2.87147,0.587503,Macrophages,#f08592
822440,2.087731,0.716221,Monocytes,#9897df
831906,-4.377659,5.412137,Myeloid Progenitors,#004583
852243,3.972594,0.205515,Macrophages,#f08592
852701,1.479327,3.556717,Monocytes,#9897df
858929,3.466517,-3.168115,Macrophages,#f08592
864398,-6.961238,-1.579781,T Cells,#f6d100
873061,0.825725,1.106672,Monocytes,#9897df
875410,2.241771,-2.382295,Macrophages,#f08592
882701,3.656639,-3.909389,Macrophages,#f08592
883396,3.280158,-3.341627,Macrophages,#f08592
889736,-6.046318,-6.913685,Dendritic Cells,#d3bcd4
895549,-5.995085,-6.814418,Dendritic Cells,#d3bcd4
897056,4.002762,-3.400803,Macrophages,#f08592
899307,-7.658784,1.83472,T Cells,#f6d100
901179,-6.041907,-6.727825,Dendritic Cells,#d3bcd4
902312,-1.583966,2.342471,Myeloid Progenitors,#004583
902442,2.487364,-2.563623,Macrophages,#f08592
902452,-0.316812,1.991969,Monocytes,#9897df
910994,-3.670049,5.151323,Myeloid Progenitors,#004583
930974,-6.528535,-0.092404,T Cells,#f6d100
931034,-0.066795,0.11767,Monocytes,#9897df
931646,3.124895,0.645488,Macrophages,#f08592
937732,1.5374,4.051837,Monocytes,#9897df
937945,4.955938,-1.832103,Macrophages,#f08592
960186,3.96454,-2.974583,Macrophages,#f08592
961694,2.414344,4.29138,Monocytes,#9897df
965050,2.328309,-0.753307,Macrophages,#f08592
965939,4.615788,-3.693365,Macrophages,#f08592
967248,1.996654,-3.037701,Macrophages,#f08592
979896,-8.310936,2.175511,T Cells,#f6d100
