Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gapt,6.25281764817733e-09,3.65340949359162,0.047,0.004,0.000163711271664579
P2ry13,6.49847180795385e-09,4.06166601650841,0.034,0.001,0.000170142988875848
Hp,6.54215167600026e-09,4.09781945969938,0.034,0.001,0.000171286615181039
Plin3,6.9773556693592e-09,1.26021297377775,0.263,0.123,0.000182681126135163
Tnfsf8,7.33605253509231e-09,-1.02420877317496,0.297,0.484,0.000192072527473787
Ptafr,7.3731218647959e-09,1.74804379533065,0.136,0.042,0.000193043076664086
Scd2,7.57705212441463e-09,0.920196893339119,0.432,0.254,0.000198382378721424
Ptprc,9.27632936776884e-09,-0.580242993053351,0.958,0.961,0.000242872855506924
Selenow,1.19192882572589e-08,1.00241114060362,0.47,0.299,0.000312070805151554
Hmox1,1.32545237325708e-08,1.42631528514727,0.343,0.186,0.00034702994036617
Thbs1,1.38714109116304e-08,1.75982618352461,0.39,0.242,0.000363181280488307
Aldh2,1.57110920324145e-08,1.59039439612659,0.208,0.088,0.000411347811592676
Gyg,1.62030223588201e-08,1.0601807210857,0.411,0.246,0.000424227531398628
Cd9,1.65383987939016e-08,1.76177363943828,0.148,0.051,0.000433008357221933
Msrb1,1.95827047301578e-08,1.41117883213701,0.254,0.121,0.000512714375244993
Ptgs1,2.56710166545713e-08,4.09673487142536,0.047,0.005,0.000672118558049986
Il36g,2.70660674659596e-08,3.77008175594521,0.047,0.005,0.000708643778393755
Cxcl3,2.7327497059598e-08,5.57854722185592,0.047,0.005,0.000715488528014395
Npc2,2.77460102588383e-08,1.0225217457795,0.644,0.499,0.000726446040596904
Gadd45a,2.82619371433628e-08,3.35346091570622,0.047,0.005,0.000739954038287524
Cdk18,2.84369610765341e-08,2.39030140892273,0.085,0.019,0.000744536514905816
Ywhae,2.87265902991452e-08,0.404517824874609,0.919,0.817,0.00075211958721222
Vim,3.84324975234565e-08,0.391396441771972,0.996,0.981,0.00100623965015914
Ctsl,3.93135607879111e-08,1.55747726551706,0.394,0.237,0.00102930764854909
Gabarap,4.28261015826136e-08,0.632990425053593,0.826,0.685,0.00112127299163599
Anxa3,4.34871084405323e-08,1.59641847158591,0.186,0.076,0.00113857947319002
Prdx1,4.58307420456867e-08,1.23283283978287,0.894,0.809,0.00119994048824017
Igf2bp2,5.04321035769133e-08,2.29254149711017,0.123,0.039,0.00132041333585075
Prnp,7.27658934328886e-08,1.3177101639986,0.174,0.068,0.00190515662185989
Clec12a,7.70270378665935e-08,0.968753606729612,0.267,0.129,0.00201672190542315
Adam15,7.8784568603557e-08,1.24810663366619,0.254,0.124,0.00206273757517833
Cd180,8.18300613348392e-08,1.08985037687216,0.301,0.16,0.00214247466586876
AI839979,8.41614390108794e-08,5.91253147159412,0.021,0,0.00220351479618285
Grn,9.36907919568286e-08,1.05469908707529,0.445,0.281,0.00245301231501369
Fcgr3,9.9079301333537e-08,0.288497881893128,0.36,0.188,0.00259409426751467
Cfp,9.91030495571701e-08,0.564921404685678,0.364,0.199,0.00259471604350583
Cstb,1.0883445157685e-07,1.09763704098963,0.665,0.54,0.00284950361118509
Itgal,1.26275272707072e-07,-0.641527922571823,0.602,0.738,0.00330613919001655
Stfa1,1.26845060981663e-07,5.50916441261002,0.025,0.001,0.00332105738662189
Junos,1.46771272079901e-07,2.37006534562299,0.051,0.007,0.00384276544559596
Ebi3,1.58354515712335e-07,1.76780717986592,0.14,0.051,0.00414603793038036
St3gal5,1.7747066623362e-07,2.02528362459244,0.102,0.03,0.00464653698332864
Dab2,1.7840664774146e-07,1.07053173895175,0.398,0.239,0.00467104285116691
Serpine2,1.79518119311124e-07,-1.45825679121496,0.229,0.392,0.00470014339980384
F10,2.07641846360586e-07,2.55803602509477,0.076,0.018,0.00543647882141287
Atp6v0c,2.47660542182574e-07,1.00734218275102,0.64,0.5,0.00648424831542416
Lrg1,2.6225714786243e-07,4.01140134792356,0.042,0.005,0.00686641664533414
Stfa2,2.6350912091071e-07,5.45805797773769,0.085,0.022,0.00689919580368421
Lrp1,3.01961292325849e-07,1.43000304394156,0.178,0.075,0.00790595055567538
Mdfic2,3.08134045197337e-07,-2.73064075080542,0.042,0.169,0.00806756557135667
Il1r2,3.16366761455872e-07,2.80841995160843,0.089,0.024,0.00828311454843764
Creg1,3.34007376236482e-07,0.661837850622621,0.386,0.229,0.00874498112462357
Tagln2,3.40076323931851e-07,0.476895877794287,0.907,0.883,0.00890387831318373
Inpp4b,3.7763330545429e-07,-0.991824119017135,0.479,0.612,0.00988719520340421
Prkcd,3.94741969786665e-07,1.13393782848048,0.242,0.121,0.0103351342529545
Fyb,3.95523838704139e-07,0.536244926054861,0.788,0.674,0.0103556051449518
Ggt5,4.05788160500064e-07,4.7416512701446,0.034,0.003,0.0106243456182127
Rras,4.09802620802233e-07,1.47960523041252,0.144,0.055,0.0107294522178441
Basp1,4.35734633107811e-07,0.898484954863861,0.534,0.385,0.0114084041640287
Hsp90b1,5.439861688862e-07,0.469991826693283,0.915,0.835,0.0142426458737785
Rgs10,6.08341228608263e-07,1.61061844316411,0.114,0.038,0.0159275900474215
Fos,6.13904582739177e-07,1.77222626767513,0.178,0.078,0.0160732497852771
Mmp14,6.87155846295371e-07,1.72476013017282,0.072,0.017,0.0179911143677054
Qsox1,6.99917979242329e-07,0.980685232584576,0.195,0.087,0.0183252525325227
Acod1,7.647175175195e-07,1.27701380675491,0.182,0.081,0.0200218340436956
Gclm,8.06206444612649e-07,1.06829484155857,0.263,0.14,0.0211080971328484
Emilin2,9.07576723352039e-07,0.904196174097463,0.424,0.273,0.0237621737708031
B2m,9.79349291226971e-07,0.428592322624428,1,1,0.0256413231429046
Mbnl1,1.2092881327624e-06,-0.53492033490735,0.877,0.928,0.0316615818919852
Cstdc5,1.2762893445842e-06,5.94153032995564,0.059,0.013,0.0334158076199036
Fgr,1.31869677953595e-06,1.44827868793713,0.136,0.052,0.0345261190818104
Mat2a,1.33899710714752e-06,-0.880849727154494,0.331,0.472,0.0350576222593364
Nkg7,1.41497486176907e-06,-0.555901606466113,0.792,0.856,0.0370468718308378
Ecm1,1.44787703111165e-06,1.74271540484846,0.161,0.07,0.0379083164285651
mt-Nd5,1.46991926886839e-06,-0.355908673457835,0.983,0.997,0.0384854262975121
Pycard,1.4835294463734e-06,0.817871683397802,0.377,0.233,0.0388417679649483
Ly6a2,1.49152754381363e-06,2.55975443514381,0.093,0.029,0.0390511741521286
mt-Nd2,1.57169158347556e-06,-0.270783517683331,1,0.998,0.041150029038557
D730003I15Rik,1.64201377761041e-06,4.27774910259301,0.025,0.001,0.0429912047253959
Saa3,1.71523184636532e-06,2.5831948175127,0.165,0.073,0.0449082002015367
Nampt,1.78825140162619e-06,0.623013614873984,0.398,0.249,0.0468199981973769
Lamp2,1.79496141170495e-06,0.730810945506083,0.458,0.298,0.0469956796812589
Abcg1,1.85376429883719e-06,1.36434046275498,0.182,0.084,0.0485352568721553
Klrd1,1.91336214443206e-06,-0.593548569866699,0.581,0.734,0.0500956476655201
Gzmb,1.9664130928334e-06,-0.709810835094171,0.843,0.888,0.0514846275965641
Trem2,2.09192990378145e-06,1.3472076751705,0.242,0.126,0.054770908740806
Lgals3,2.09948008624565e-06,1.38831210034019,0.716,0.632,0.0549685876180836
Unc93b1,2.22342301211311e-06,0.944617166924713,0.284,0.163,0.0582136613031454
Siglece,2.295913717204e-06,5.20863712817131,0.021,0.001,0.0601116129438352
ENSMUSG00000120357,2.37911901965268e-06,3.70270513461533,0.021,0.001,0.0622900941725466
Gng12,2.40391443852388e-06,1.13032942989588,0.199,0.094,0.0629392878294323
Pgam1,2.60713599629227e-06,0.417889771328857,0.814,0.726,0.0682600346549241
Rnase4,2.63851555042668e-06,1.48368874835523,0.064,0.015,0.0690816141412713
Aatk,2.71335348930204e-06,4.43614259806827,0.038,0.005,0.0710410210569061
